Hour,Feature,Coefficient,AbsoluteCoefficient,Rank
Hour_5,DEWP Is,-0.8062179450724634,0.8062179450724634,3
Hour_5,cbwd_NW,-0.754587255663189,0.754587255663189,4
Hour_5,DEWP^2,0.6759837897113046,0.6759837897113046,5
Hour_5,cbwd_cv,0.6559415908376982,0.6559415908376982,6
Hour_5,DEWP,0.6058448846503872,0.6058448846503872,7
Hour_5,TEMP Is,0.5662130981443895,0.5662130981443895,8
Hour_5,hour TEMP,0.5501707912252985,0.5501707912252985,9
Hour_5,hour DEWP,-0.5495738243293777,0.5495738243293777,10
Hour_5,Is,0.5136890712556013,0.5136890712556013,11
Hour_5,pm2.5^2,-0.42584295887371015,0.42584295887371015,12
Hour_5,Ir,-0.41941078212589006,0.41941078212589006,13
Hour_5,pm2.5 Iws,0.4115471327481241,0.4115471327481241,14
Hour_5,pm2.5 DEWP,-0.38429670723667786,0.38429670723667786,15
Hour_5,pm2.5 TEMP,0.34973739928062886,0.34973739928062886,16
Hour_5,TEMP PRES,-0.3109921897210877,0.3109921897210877,17
Hour_5,DEWP TEMP,-0.29727345925254756,0.29727345925254756,18
Hour_5,Iws Is,0.29032874082893123,0.29032874082893123,19
Hour_5,DEWP PRES,0.26781357924287535,0.26781357924287535,20
Hour_5,month DEWP,-0.2623098970015649,0.2623098970015649,21
Hour_5,month,-0.25033712067542496,0.25033712067542496,22
Hour_5,month^2,0.24596827941282234,0.24596827941282234,23
Hour_5,day pm2.5,0.2388353955666589,0.2388353955666589,24
Hour_5,PRES^2,-0.2164235934629859,0.2164235934629859,25
Hour_5,pm2.5 PRES,0.21285021272269194,0.21285021272269194,26
Hour_5,month TEMP,0.20695528837455013,0.20695528837455013,27
Hour_5,pm2.5 Is,0.19877176852198983,0.19877176852198983,28
Hour_5,TEMP^2,-0.1957640792836657,0.1957640792836657,29
Hour_5,month Ir,-0.18828964232713127,0.18828964232713127,30
Hour_5,TEMP,-0.18772923669603292,0.18772923669603292,31
Hour_5,month pm2.5,0.1863382584250591,0.1863382584250591,32
Hour_5,Iws Ir,-0.18403901069728756,0.18403901069728756,33
Hour_5,cbwd_NE,-0.1732464318959341,0.1732464318959341,34
Hour_5,day DEWP,-0.16965466141382848,0.16965466141382848,35
Hour_5,day TEMP,0.15818608736876089,0.15818608736876089,36
Hour_5,hour,0.15376171757178467,0.15376171757178467,37
Hour_5,DEWP Ir,0.1497519161966765,0.1497519161966765,38
Hour_5,month PRES,0.1365196555737474,0.1365196555737474,39
Hour_5,month day,0.13387823677633787,0.13387823677633787,40
Hour_5,hour^2,-0.12932033925124586,0.12932033925124586,41
Hour_5,PRES,0.11229134841340076,0.11229134841340076,42
Hour_5,TEMP Iws,0.10373073936511683,0.10373073936511683,43
Hour_5,PRES Ir,0.1024645077567166,0.1024645077567166,44
Hour_5,Iws,0.09068180875102215,0.09068180875102215,45
Hour_5,pm2.5 Ir,-0.08654299900950659,0.08654299900950659,46
Hour_5,day Is,0.07831069727161154,0.07831069727161154,47
Hour_5,month hour,0.07666368320534528,0.07666368320534528,48
